x1,x2,x3,x4,output
0.25,0.0,0.0,0.0,[1.5080531]
0.24838091433048248,-0.040452487766742706,0.006194120738655329,0.1548505425453186,[1.1836976]
0.2429824024438858,-0.07417796552181244,0.026549283415079117,0.276592493057251,[-0.6989399]
0.23510956764221191,-0.08539767563343048,0.05145825445652008,0.20781967043876648,[-1.1390464]
0.22641395032405853,-0.08912461996078491,0.06769959628582001,0.09428707510232925,[0.16646828]
0.21691147983074188,-0.1036849170923233,0.07785303890705109,0.11238619685173035,[0.61269295]
0.20583294332027435,-0.12121085077524185,0.09161320328712463,0.17540207505226135,[-0.25775445]
0.19337914884090424,-0.12928003072738647,0.1081555113196373,0.1504296511411667,[-0.6097702]
0.18025292456150055,-0.13397639989852905,0.12077909708023071,0.08991925418376923,[0.1400938]
0.16631974279880524,-0.14708475768566132,0.13038454949855804,0.10522933304309845,[0.4774151]
0.15088580548763275,-0.16490785777568817,0.14288905262947083,0.1547369509935379,[-0.07439721]
0.13383007049560547,-0.17869001626968384,0.1581210494041443,0.14866018295288086,[-0.33444658]
0.1154448613524437,-0.19123025238513947,0.17170023918151855,0.11645278334617615,[0.11272316]
0.09558986127376556,-0.20913003385066986,0.18386849761009216,0.1294873058795929,[0.2802379]
0.07387122511863708,-0.22883082926273346,0.19801734387874603,0.15944601595401764,[-0.16806507]
0.05039277300238609,-0.24324597418308258,0.21334801614284515,0.14405110478401184,[-0.43246546]
0.025652728974819183,-0.25314122438430786,0.22606384754180908,0.1017705500125885,[-0.14979355]
-6.870401557534933e-05,-0.2628082036972046,0.23568139970302582,0.0877324715256691,[-0.05798972]
-0.026631180197000504,-0.26931506395339966,0.24425005912780762,0.08256570994853973,[-0.46217394]
-0.05348920822143555,-0.26693978905677795,0.2506507933139801,0.0361180454492569,[-0.5317004]
-0.07986245304346085,-0.2583886682987213,0.2521047294139862,-0.017880158498883247,[-0.17353779]
-0.10529014468193054,-0.24759306013584137,0.24958273768424988,-0.03627961501479149,[-0.13105029]
-0.1294282078742981,-0.23157036304473877,0.24537035822868347,-0.05093790590763092,[-0.32563066]
-0.15167881548404694,-0.20845264196395874,0.23888608813285828,-0.08574482053518295,[-0.27079028]
-0.17146116495132446,-0.181471049785614,0.22912512719631195,-0.11544773727655411,[-0.12630415]
-0.1884663850069046,-0.15257219970226288,0.21696387231349945,-0.13089561462402344,[-0.11027221]
-0.20250149071216583,-0.12172751128673553,0.20331381261348724,-0.14493851363658905,[-0.11946873]
-0.21341364085674286,-0.08998362720012665,0.18821854889392853,-0.15999813377857208,[-0.06024513]
-0.22119037806987762,-0.05927862599492073,0.17185766994953156,-0.16904255747795105,[0.01202505]
-0.22598566114902496,-0.030862050130963326,0.15488986670970917,-0.17064306139945984,[0.05202215]
-0.22805090248584747,-0.005292220506817102,0.13793271780014038,-0.16796982288360596,[0.0786426]
-0.22768859565258026,0.016991538926959038,0.12136196345090866,-0.1623147428035736,[0.11005094]
-0.22523890435695648,0.03570760786533356,0.10549616068601608,-0.15316888689994812,[0.1334331]
-0.22105133533477783,0.051044512540102005,0.09065164625644684,-0.14135167002677917,[0.13295904]
-0.21543772518634796,0.06366144865751266,0.07699759304523468,-0.12931287288665771,[0.11233332]
-0.20863541960716248,0.0744292363524437,0.06447214633226395,-0.11915352195501328,[0.08368846]
-0.2007930725812912,0.08425763994455338,0.052851684391498566,-0.11176574975252151,[0.0499694]
-0.19196709990501404,0.09408610314130783,0.04183501750230789,-0.10775049775838852,[0.00996303]
-0.18212127685546875,0.10481945425271988,0.031056132167577744,-0.10782676935195923,[-0.02833087]
-0.1711379736661911,0.11713378876447678,0.02011001668870449,-0.11189084500074387,[-0.05307171]
-0.15884603559970856,0.131352037191391,0.00865079928189516,-0.1186196580529213,[-0.06193665]
-0.14505471289157867,0.14747917652130127,-0.0035245229955762625,-0.12642601132392883,[-0.05857522]
-0.12958429753780365,0.1652321070432663,-0.016473673284053802,-0.13405874371528625,[-0.04144565]
-0.1122969388961792,0.18398979306221008,-0.030121730640530586,-0.1400786191225052,[-0.00587082]
-0.09313028305768967,0.20279757678508759,-0.04422980174422264,-0.14254526793956757,[0.04776739]
-0.07212618738412857,0.22048471868038177,-0.05836561322212219,-0.13953503966331482,[0.11530856]
-0.0494471974670887,0.2357926368713379,-0.07192081958055496,-0.1295318603515625,[0.19466457]
-0.02538197487592697,0.24745847284793854,-0.08414380997419357,-0.11122854799032211,[0.28207237]
-0.0003407138865441084,0.25434061884880066,-0.0941678062081337,-0.08370685577392578,[0.35647494]
0.02516803704202175,0.2556942403316498,-0.10112002491950989,-0.048194099217653275,[0.37600842]
0.050588805228471756,0.25146424770355225,-0.10442060977220535,-0.010172498412430286,[0.3294878]
0.07537821680307388,0.24203620851039886,-0.10408440232276917,0.023713937029242516,[0.27298853]
