Wall time,Step,Value
1679395078.6681137,12288,40.31924819946289
1679395118.6861677,24576,41.562923431396484
1679395162.3586304,36864,44.107627868652344
1679395208.6788254,49152,51.15339279174805
1679395258.0364847,61440,58.733421325683594
1679395309.2176878,73728,71.21984100341797
1679395359.2639234,86016,91.2352066040039
1679395409.5814342,98304,95.05160522460938
1679395458.33712,110592,104.19723510742188
1679395507.0080304,122880,118.86437225341797
1679395554.118114,135168,131.1376953125
1679395601.3777986,147456,132.06214904785156
1679395647.8206646,159744,145.3985595703125
1679395694.435636,172032,142.69956970214844
1679395741.8868084,184320,136.62664794921875
1679395788.8492863,196608,136.3199920654297
1679395835.684105,208896,141.97280883789062
1679395883.0667152,221184,142.97178649902344
1679395929.455725,233472,141.3220672607422
1679395977.3163662,245760,139.10821533203125
1679396024.4977734,258048,144.29354858398438
1679396070.886784,270336,145.13380432128906
1679396117.1876838,282624,142.00225830078125
1679396163.6873987,294912,145.4917449951172
1679396210.9985743,307200,146.7139434814453
1679396258.6172984,319488,142.79660034179688
1679396307.0767753,331776,144.26451110839844
1679396354.7762842,344064,142.33016967773438
1679396402.2703412,356352,143.969482421875
1679396451.3760898,368640,145.95179748535156
1679396498.8761322,380928,144.8885040283203
1679396547.4563348,393216,145.5363311767578
1679396595.626134,405504,153.11805725097656
1679396643.19602,417792,157.02175903320312
1679396691.264255,430080,149.8985137939453
1679396739.365689,442368,148.97903442382812
1679396786.616396,454656,151.86697387695312
1679396834.5582817,466944,152.38465881347656
1679396880.8622208,479232,147.51397705078125
1679396929.37781,491520,147.32284545898438
1679396976.4247603,503808,153.7574920654297
1679397023.4141667,516096,152.65411376953125
1679397071.3460538,528384,156.45046997070312
1679397120.2198892,540672,158.64532470703125
1679397167.9243855,552960,161.1614227294922
1679397215.0234985,565248,152.75660705566406
1679397262.0687551,577536,159.75244140625
1679397309.1479552,589824,155.55198669433594
1679397358.4935951,602112,156.7599639892578
1679397405.6391213,614400,168.97671508789062
1679397452.8309865,626688,166.1513214111328
1679397499.749582,638976,167.07838439941406
1679397547.2616014,651264,163.95481872558594
1679397594.3806517,663552,169.00497436523438
1679397640.6699293,675840,163.79446411132812
1679397687.300294,688128,168.6980743408203
1679397734.6896312,700416,164.56141662597656
1679397780.4971962,712704,169.4020538330078
1679397826.5705585,724992,169.74691772460938
1679397873.0812442,737280,166.1322784423828
1679397919.7973807,749568,174.08432006835938
1679397966.3768833,761856,171.7814483642578
1679398011.9964755,774144,172.93617248535156
1679398059.3738444,786432,171.46131896972656
1679398105.5613942,798720,167.6198272705078
1679398151.0369198,811008,166.66847229003906
1679398196.3099146,823296,176.8162841796875
1679398241.628786,835584,175.79183959960938
1679398288.3211148,847872,171.3065185546875
1679398334.00439,860160,171.95855712890625
1679398380.2272534,872448,170.06431579589844
1679398425.379972,884736,175.7684783935547
1679398470.8883362,897024,180.6964874267578
1679398516.7946508,909312,179.86630249023438
1679398563.3422248,921600,169.43479919433594
1679398609.3808236,933888,179.53976440429688
1679398654.266081,946176,181.6284637451172
1679398699.6288354,958464,177.4082794189453
1679398746.6182547,970752,176.60305786132812
1679398793.0002823,983040,170.26031494140625
1679398839.4581084,995328,173.13531494140625
1679398884.9405425,1007616,173.08154296875
1679398930.5049856,1019904,177.25950622558594
1679398977.2300985,1032192,175.15370178222656
1679399021.6553571,1044480,183.22561645507812
1679399066.0985687,1056768,172.92733764648438
1679399112.2042549,1069056,182.14256286621094
1679399159.2490442,1081344,179.86830139160156
1679399205.2810733,1093632,178.17831420898438
1679399251.0280838,1105920,184.84461975097656
1679399297.0361128,1118208,184.59933471679688
1679399342.8985302,1130496,191.40122985839844
1679399389.9144006,1142784,179.12838745117188
1679399436.5054111,1155072,184.06118774414062
1679399482.9033127,1167360,182.13739013671875
1679399528.729827,1179648,190.13438415527344
1679399574.0177805,1191936,186.4198760986328
1679399621.975598,1204224,185.49855041503906
1679399668.6997135,1216512,176.85792541503906
1679399714.8802814,1228800,189.58729553222656
1679399761.6678832,1241088,188.7318115234375
1679399807.1553042,1253376,188.58738708496094
1679399855.0174062,1265664,188.93508911132812
1679399900.575637,1277952,188.37203979492188
1679399946.4759543,1290240,191.67918395996094
1679399991.2582598,1302528,181.84642028808594
1679400036.397621,1314816,191.60211181640625
1679400083.197674,1327104,188.0748291015625
1679400128.7459316,1339392,193.56385803222656
1679400174.8507028,1351680,188.44650268554688
1679400220.2772305,1363968,194.93275451660156
1679400266.5774748,1376256,189.13235473632812
1679400313.1539848,1388544,189.63099670410156
1679400358.7830267,1400832,188.00099182128906
1679400404.5955787,1413120,188.533447265625
1679400450.230605,1425408,191.21612548828125
1679400496.3413594,1437696,197.32542419433594
1679400544.2373965,1449984,184.17050170898438
1679400590.134861,1462272,190.9646453857422
1679400636.780047,1474560,200.59368896484375
1679400683.3036263,1486848,198.99395751953125
1679400728.7371907,1499136,193.93649291992188
1679400776.0138297,1511424,194.58251953125
1679400821.2359588,1523712,191.09536743164062
1679400866.9767027,1536000,190.96266174316406
1679400911.5267227,1548288,189.53794860839844
1679400957.4549644,1560576,191.2001495361328
1679401002.7369344,1572864,197.59646606445312
1679401048.279324,1585152,198.5562286376953
1679401093.345869,1597440,203.369873046875
1679401138.2209265,1609728,196.7986297607422
1679401184.6807482,1622016,198.5655517578125
1679401230.5361867,1634304,192.52078247070312
1679401274.4410052,1646592,207.86294555664062
1679401319.4756346,1658880,204.9455108642578
1679401365.1645176,1671168,197.3910369873047
1679401412.2572603,1683456,206.3574981689453
1679401457.562712,1695744,209.906982421875
1679401502.6551876,1708032,199.12550354003906
1679401549.119995,1720320,206.1553497314453
1679401594.0359428,1732608,204.31288146972656
1679401641.0173798,1744896,201.6871795654297
1679401685.3807962,1757184,206.154052734375
1679401730.7485368,1769472,203.81993103027344
1679401775.990143,1781760,207.77288818359375
1679401822.0779266,1794048,210.27896118164062
1679401870.1483712,1806336,195.7816925048828
1679401916.2431686,1818624,206.8412628173828
1679401962.9882536,1830912,203.0763702392578
