Wall time,Step,Value
1683825540.7282643,2005560,680.526611328125
1683825549.1387746,2006920,679.9107055664062
1683825574.3792803,2011040,665.00537109375
1683825578.533173,2011720,666.5795288085938
1683825592.5098002,2014000,675.7770385742188
1683825596.4113667,2014640,672.6248779296875
1683825606.3497915,2016260,670.7721557617188
1683825615.4131205,2017730,664.86279296875
1683825619.9150822,2018460,665.5226440429688
1683825625.016442,2019290,656.2564697265625
1683825630.1517105,2020120,644.3628540039062
1683825653.749116,2023980,627.3483276367188
1683825704.2196615,2032210,619.5625610351562
1683825711.07932,2033330,628.80615234375
1683825721.4735243,2035030,624.0555419921875
1683825740.3171356,2038120,617.0968627929688
1683825748.890211,2039510,609.2753295898438
1683825758.6181982,2041100,620.766357421875
1683825771.3107636,2043180,623.4266967773438
1683825774.6438506,2043730,630.9773559570312
1683825787.945282,2045920,638.2203369140625
1683825800.516666,2047970,635.5804443359375
1683825804.6386445,2048650,631.7864990234375
1683825825.7036972,2052110,647.8291625976562
1683825833.8379555,2053450,651.9243774414062
1683825840.3365796,2054520,666.3386840820312
1683825845.3382037,2055340,672.984375
1683825854.700673,2056860,678.2720947265625
1683825870.3384311,2059440,673.7695922851562
1683825878.0677626,2060700,668.2271728515625
1683825890.0796435,2062670,673.778564453125
1683825903.3611274,2064860,689.3942260742188
1683825908.7497182,2065740,686.605224609375
1683825915.3071842,2066820,682.93994140625
1683825921.7763922,2067880,677.7943725585938
1683825939.085108,2070730,684.7464599609375
1683825944.821768,2071670,685.6879272460938
1683825950.5060725,2072600,682.6416625976562
1683825957.1622746,2073690,682.9591674804688
1683825971.4710116,2076030,692.0028686523438
1683825990.7614286,2079210,691.9373168945312
1683826023.8788815,2084610,673.2212524414062
1683826027.4982033,2085210,684.9818725585938
1683826034.8834555,2086400,685.279541015625
1683826044.1815915,2087810,684.8689575195312
1683826052.1797109,2089040,689.13037109375
1683826059.3914268,2090220,687.877197265625
1683826090.650838,2095320,689.828125
1683826143.7279084,2103480,693.1044311523438
1683826161.640011,2106410,684.7900390625
1683826165.5246234,2107050,681.082763671875
1683826208.4832559,2114070,674.88720703125
1683826227.9118645,2117250,680.9854125976562
1683826243.9150724,2119870,683.4207763671875
1683826246.5590014,2120310,692.8103637695312
1683826256.5896838,2121950,682.7967529296875
1683826279.8584726,2125740,671.8260498046875
1683826286.4757779,2126820,684.0394897460938
1683826295.2528129,2128260,687.3656005859375
1683826315.5864394,2131590,701.857177734375
1683826318.8507113,2132130,701.8047485351562
1683826342.8610125,2136060,722.3395385742188
1683826366.3596823,2139900,721.8783569335938
1683826383.0779772,2142640,734.3748168945312
1683826395.589027,2144700,731.994140625
1683826400.2465723,2145470,729.8582153320312
1683826408.5623357,2146830,731.9765014648438
1683826416.5190594,2148130,727.6522827148438
1683826432.237029,2150690,747.5303344726562
1683826444.3306906,2152670,762.5043334960938
1683826457.1603847,2154760,759.91650390625
1683826476.0259364,2157850,752.6266479492188
1683826477.9009225,2158150,746.4511108398438
1683826489.4929254,2160040,741.630859375
1683826499.8183148,2161740,742.8016967773438
1683826507.3152683,2162960,734.2967529296875
1683826511.2068615,2163600,736.1654663085938
1683826527.744639,2166300,712.069091796875
1683826541.8269825,2168600,706.6121826171875
1683826546.499488,2169370,696.8447265625
1683826559.4920912,2171490,691.4483032226562
1683826562.8002448,2172030,688.9315185546875
1683826577.4440866,2174430,648.4058837890625
1683826607.490741,2179340,650.5757446289062
1683826618.6753395,2181160,649.5092163085938
1683826619.778391,2181340,642.4829711914062
1683826635.4644446,2183900,647.1563720703125
1683826637.5957453,2184250,648.27734375
1683826654.136023,2186960,660.4608154296875
1683826669.1618438,2189410,669.8072509765625
1683826675.2006958,2190400,680.9489135742188
1683826683.0556917,2191680,685.8748168945312
1683826687.8379035,2192460,684.6050415039062
1683826697.8581092,2194100,687.6552124023438
