Wall time,Step,Value
1683795593.3427548,1120,38.125
1683795594.5994868,2600,37.71875
1683795595.0772092,3170,38.59740447998047
1683795595.8166578,4050,38.779998779296875
1683795597.2498252,5770,37.36000061035156
1683795597.784191,6390,37.560001373291016
1683795598.006596,6650,37.56999969482422
1683795598.2389748,6940,36.90999984741211
1683795598.3965526,7120,36.900001525878906
1683795598.6707957,7450,36.560001373291016
1683795599.4018397,8320,37.25
1683795599.4896054,8430,36.959999084472656
1683795599.6332214,8600,36.79999923706055
1683795599.7868109,8780,37.13999938964844
1683795602.5544093,10180,37.95000076293945
1683795607.9110866,11110,38.869998931884766
1683795608.7857463,11260,38.939998626708984
1683795609.7242386,11420,38.72999954223633
1683795611.374823,11720,38.779998779296875
1683795616.000455,12490,39.849998474121094
1683795625.0293107,14050,43.25
1683795634.704439,15680,47.83000183105469
1683795646.4629962,17670,54.189998626708984
1683795650.7360747,18400,57.18000030517578
1683795653.1226926,18810,58.279998779296875
1683795663.7452877,20630,63.09000015258789
1683795670.5660489,21790,64.18000030517578
1683795680.3618543,23460,61.099998474121094
1683795684.249459,24120,59.779998779296875
1683795685.8471868,24390,59.099998474121094
1683795696.0060222,26120,54.0099983215332
1683795698.7815998,26590,52.58000183105469
1683795699.601407,26730,51.790000915527344
1683795707.767571,28130,49.25
1683795713.9300923,29190,48.720001220703125
1683795715.4789522,29460,48.2599983215332
1683795716.7655103,29680,47.83000183105469
1683795721.1687357,30440,46.77000045776367
1683795725.7445002,31230,45.7599983215332
1683795726.9093854,31430,45.06999969482422
1683795729.7108939,31920,45.06999969482422
1683795735.4605188,32910,45.52000045776367
1683795736.691228,33120,45.16999816894531
1683795742.1237013,34040,43.849998474121094
1683795744.124352,34380,43.560001373291016
1683795745.5066555,34620,43.900001525878906
1683795749.9208515,35380,43.790000915527344
1683795751.1994326,35600,44.34000015258789
1683795758.2914689,36830,46.029998779296875
1683795767.5915995,38410,47.060001373291016
1683795769.1863358,38680,47.380001068115234
1683795770.203615,38850,47.91999816894531
1683795775.769731,39770,48.630001068115234
1683795789.4292068,42050,51.689998626708984
1683795797.0857317,43320,53.279998779296875
1683795802.5062373,44220,52.16999816894531
1683795806.1066093,44820,51.70000076293945
1683795819.6992629,47100,48.400001525878906
1683795825.8907077,48150,46.15999984741211
1683795831.146652,49040,46.04999923706055
1683795832.2626684,49230,45.880001068115234
1683795833.8982937,49510,45.63999938964844
1683795838.8989217,50360,45.459999084472656
1683795843.3629851,51120,45.5099983215332
1683795845.0045953,51400,45.459999084472656
1683795851.144178,52440,47.22999954223633
1683795866.794329,55040,47.15999984741211
1683795873.1493356,56020,47.08000183105469
1683795873.5263274,56080,47.02000045776367
1683795879.86039,57080,47.189998626708984
1683795880.8048642,57240,47.13999938964844
1683795886.7290227,58230,48.9900016784668
1683795888.5322013,58530,49.88999938964844
1683795890.8200831,58920,52.279998779296875
1683795894.4104824,59530,53.08000183105469
1683795901.4466677,60720,54.93000030517578
1683795902.7930682,60950,55.09000015258789
1683795910.8649898,62320,58.130001068115234
1683795912.9923,62680,57.619998931884766
1683795914.1152983,62870,57.84000015258789
1683795917.3621223,63420,58.04999923706055
1683795930.1115336,65580,56.209999084472656
1683795939.5772223,67190,54.56999969482422
1683795961.503591,70890,56.349998474121094
